client_id,name,type_of_property,edrpou_code,ipn_code,address,phone_number,contact_person,other_details
147,Client147,Residential,,447459754,785 Oak St,8457708365,Person35,Details20
148,Client148,Commercial,917800228,,393 Market St,7093871865,Person37,Details12
149,Client149,Commercial,929436532,,331 Oak St,9259767649,Person18,Details11
150,Client150,Commercial,828670740,,73 Pine St,7966773261,Person27,Details18
151,Client151,Commercial,697334141,,808 Main St,7715262545,Person22,Details19
152,Client152,Commercial,263545125,,856 Market St,4324488680,Person32,Details17
153,Client153,Residential,,449305517,249 Elm St,7699463372,Person35,Details13
154,Client154,Residential,,225594459,475 Pine St,1612520155,Person20,Details13
155,Client155,Residential,,689454170,296 Main St,8691396949,Person41,Details12
156,Client156,Residential,,945291784,258 Main St,3353126156,Person37,Details7
157,Client157,Commercial,382277377,,324 Market St,3513635695,Person43,Details12
158,Client158,Residential,,601543834,414 Market St,1191873203,Person49,Details1
159,Client159,Residential,,514733590,622 Market St,6803358178,Person14,Details6
160,Client160,Residential,,447772143,807 Elm St,4027152246,Person50,Details20
161,Client161,Residential,,848784574,908 Pine St,1031152880,Person37,Details15
162,Client162,Commercial,328053124,,474 Market St,7692671386,Person49,Details4
163,Client163,Residential,,107786776,26 Oak St,3118879195,Person32,Details13
164,Client164,Residential,,182184502,238 Pine St,5189017677,Person44,Details14
165,Client165,Residential,,151124159,250 Market St,5189854889,Person49,Details9
166,Client166,Residential,,566035268,192 Elm St,4152336258,Person7,Details18
167,Client167,Commercial,631113515,,859 Elm St,4888423951,Person14,Details8
168,Client168,Residential,,726490427,190 Main St,9977521825,Person43,Details10
169,Client169,Residential,,944878826,153 Oak St,0119420669,Person43,Details5
170,Client170,Residential,,785426730,373 Pine St,8145094196,Person14,Details1
171,Client171,Residential,,731474105,163 Main St,0727364578,Person17,Details4
172,Client172,Residential,,587286059,143 Pine St,9381640201,Person3,Details9
173,Client173,Residential,,683698782,986 Pine St,5254034832,Person33,Details8
174,Client174,Commercial,605810812,,344 Elm St,6491892873,Person22,Details1
175,Client175,Residential,,708388687,51 Oak St,9406022190,Person23,Details18
176,Client176,Residential,,555541172,910 Main St,5355431355,Person43,Details7
177,Client177,Residential,,305513689,553 Main St,4806320036,Person16,Details15
178,Client178,Commercial,876782220,,450 Pine St,7268608316,Person44,Details6
179,Client179,Residential,,413476294,597 Market St,0212755343,Person35,Details4
180,Client180,Residential,,207807189,345 Elm St,2775767572,Person25,Details11
181,Client181,Residential,,876428782,176 Main St,5533215321,Person42,Details18
182,Client182,Commercial,532257894,,46 Oak St,1225747980,Person27,Details10
183,Client183,Residential,,902906036,210 Main St,4608165949,Person43,Details2
184,Client184,Residential,,827763144,501 Elm St,2886320090,Person37,Details18
185,Client185,Residential,,459776992,564 Elm St,7631325216,Person16,Details13
186,Client186,Residential,,595104531,115 Pine St,3660769412,Person15,Details13
187,Client187,Residential,,937472559,182 Pine St,6179381572,Person27,Details12
188,Client188,Residential,,787126099,85 Main St,5131808142,Person28,Details10
189,Client189,Residential,,278706339,743 Elm St,3753144760,Person43,Details20
190,Client190,Residential,,865562826,919 Elm St,6508443743,Person3,Details8
191,Client191,Residential,,277278097,874 Elm St,8862009789,Person42,Details20
192,Client192,Residential,,889258040,997 Oak St,3250985944,Person20,Details2
193,Client193,Residential,,807908875,291 Market St,3078710468,Person26,Details5
194,Client194,Residential,,658269863,182 Oak St,2910585301,Person9,Details1
195,Client195,Residential,,720694338,229 Elm St,3638245117,Person23,Details7
196,Client196,Residential,,973220970,243 Pine St,4842189875,Person34,Details4
197,Client197,Residential,,898260846,458 Pine St,4394954599,Person1,Details17
198,Client198,Residential,,325993179,330 Main St,4252481486,Person15,Details15
199,Client199,Residential,,222157024,735 Oak St,7669643201,Person24,Details12
200,Client200,Residential,,774661154,332 Pine St,6047870671,Person12,Details10
201,Client201,Commercial,659748208,,77 Market St,3364410445,Person48,Details19
202,Client202,Residential,,517825954,624 Pine St,3239711246,Person34,Details18
203,Client203,Residential,,806536022,114 Main St,3722531105,Person47,Details11
204,Client204,Residential,,267636150,60 Pine St,8947534764,Person33,Details13
205,Client205,Commercial,987782857,,757 Oak St,6355186548,Person30,Details8
206,Client206,Commercial,723932809,,206 Pine St,2084115234,Person43,Details1
207,Client207,Residential,,141652448,511 Market St,2850738519,Person27,Details20
208,Client208,Residential,,498181869,584 Pine St,8486271951,Person24,Details14
209,Client209,Residential,,173603100,422 Market St,1293660941,Person8,Details18
210,Client210,Commercial,110247354,,165 Oak St,0756920174,Person49,Details10
211,Client211,Residential,,656199219,164 Pine St,7420354011,Person11,Details3
212,Client212,Residential,,324893049,783 Elm St,3493993997,Person9,Details10
213,Client213,Residential,,576055288,989 Main St,0318527757,Person28,Details9
214,Client214,Commercial,300907612,,64 Market St,4962440931,Person41,Details18
215,Client215,Commercial,939291424,,820 Oak St,8663772397,Person5,Details12
216,Client216,Residential,,408654863,118 Pine St,7880544369,Person48,Details18
217,Client217,Commercial,812100494,,85 Pine St,5813929551,Person12,Details19
218,Client218,Residential,,418816599,851 Market St,7592230113,Person48,Details2
219,Client219,Residential,,799052531,50 Oak St,9687749229,Person38,Details12
220,Client220,Residential,,793255204,407 Elm St,4368895207,Person29,Details14
221,Client221,Residential,,835209348,412 Elm St,0626901725,Person9,Details1
222,Client222,Residential,,929024273,586 Market St,1582948680,Person37,Details17
223,Client223,Residential,,267537599,342 Pine St,8020130565,Person43,Details9
224,Client224,Commercial,627023940,,61 Pine St,2974088097,Person35,Details19
225,Client225,Commercial,162714789,,851 Pine St,3781682870,Person24,Details16
226,Client226,Residential,,550388105,872 Elm St,5214653141,Person20,Details9
227,Client227,Residential,,606856460,806 Market St,0301650408,Person48,Details13
228,Client228,Residential,,363798114,465 Elm St,4546391137,Person15,Details9
229,Client229,Commercial,279817147,,613 Oak St,2610543788,Person31,Details14
230,Client230,Residential,,147208688,912 Elm St,4561117348,Person18,Details15
231,Client231,Commercial,366653392,,241 Elm St,6271637309,Person16,Details7
232,Client232,Residential,,541556552,751 Elm St,9138111569,Person26,Details20
233,Client233,Residential,,726309218,791 Pine St,6455065972,Person10,Details6
234,Client234,Residential,,842287207,887 Elm St,9064661925,Person33,Details4
235,Client235,Residential,,906296514,661 Pine St,9869919173,Person18,Details11
236,Client236,Commercial,239625141,,514 Elm St,5760709311,Person32,Details8
237,Client237,Commercial,348775243,,187 Elm St,1578629970,Person31,Details6
238,Client238,Commercial,937550178,,338 Pine St,2890643770,Person8,Details17
239,Client239,Residential,,634497088,225 Elm St,1814270639,Person4,Details18
240,Client240,Commercial,182647238,,326 Market St,4549761510,Person32,Details11
241,Client241,Residential,,125932107,773 Pine St,4781313928,Person17,Details20
242,Client242,Residential,,126452864,45 Market St,2884140620,Person31,Details7
243,Client243,Commercial,659239756,,915 Main St,4606754144,Person40,Details9
244,Client244,Commercial,296783280,,932 Elm St,6515819752,Person44,Details4
245,Client245,Residential,,859592027,153 Market St,3506537474,Person19,Details11
246,Client246,Residential,,649250575,297 Main St,3793037907,Person28,Details15
247,Client247,Commercial,975339319,,824 Oak St,5672834095,Person21,Details11
248,Client248,Residential,,909787961,307 Main St,4841491592,Person20,Details1
249,Client249,Residential,,394367222,438 Oak St,1111352357,Person41,Details7
250,Client250,Residential,,846313561,388 Pine St,9975733805,Person34,Details8
251,Client251,Residential,,542611423,945 Main St,2527336293,Person48,Details15
252,Client252,Residential,,757774325,95 Oak St,8229493183,Person4,Details14
253,Client253,Residential,,185901260,133 Elm St,7661013053,Person44,Details5
254,Client254,Residential,,878639028,859 Elm St,7465212953,Person24,Details11
255,Client255,Residential,,732338470,642 Market St,5924530148,Person38,Details7
256,Client256,Residential,,952200496,204 Elm St,2378002058,Person31,Details1
257,Client257,Commercial,269135826,,665 Pine St,8432339634,Person35,Details5
258,Client258,Commercial,697024704,,983 Market St,2718507844,Person8,Details19
259,Client259,Residential,,102631159,278 Market St,0031606143,Person21,Details16
260,Client260,Residential,,298152969,372 Main St,8342846121,Person4,Details1
261,Client261,Residential,,320045692,374 Main St,7657324688,Person40,Details18
262,Client262,Residential,,164378265,984 Elm St,5990880949,Person49,Details9
263,Client263,Commercial,571491794,,924 Oak St,0016595537,Person6,Details6
264,Client264,Commercial,624181501,,450 Main St,4794070171,Person28,Details7
265,Client265,Residential,,664311615,150 Market St,4139820117,Person9,Details20
266,Client266,Residential,,387784241,655 Oak St,6066501903,Person27,Details8
267,Client267,Residential,,133854421,569 Main St,2170800348,Person6,Details17
268,Client268,Commercial,456848921,,729 Market St,0192900061,Person13,Details7
269,Client269,Commercial,395001878,,457 Elm St,9293951575,Person50,Details17
270,Client270,Residential,,600685378,210 Oak St,6574152750,Person41,Details11
271,Client271,Commercial,472612724,,382 Market St,9692637123,Person17,Details2
272,Client272,Residential,,967420258,250 Pine St,5752956163,Person5,Details16
273,Client273,Residential,,393955651,83 Elm St,4213460956,Person9,Details11
274,Client274,Residential,,755994536,717 Market St,3913582441,Person31,Details14
275,Client275,Residential,,977429372,968 Market St,6712557837,Person47,Details14
276,Client276,Residential,,344301097,483 Pine St,2606223117,Person5,Details17
277,Client277,Commercial,503294541,,657 Market St,4838427948,Person28,Details1
278,Client278,Residential,,587780293,762 Pine St,1697467735,Person40,Details2
279,Client279,Commercial,526498907,,195 Main St,0178908280,Person25,Details3
280,Client280,Residential,,821816797,109 Oak St,8805922245,Person11,Details7
281,Client281,Commercial,245603804,,98 Main St,6715694686,Person45,Details10
282,Client282,Residential,,202012524,617 Oak St,4917118349,Person7,Details8
283,Client283,Residential,,620904341,446 Elm St,5211664547,Person36,Details5
284,Client284,Residential,,258526513,456 Pine St,3594118330,Person39,Details15
285,Client285,Residential,,396336129,41 Elm St,6993750193,Person34,Details6
286,Client286,Commercial,457855195,,666 Oak St,7740309558,Person24,Details12
287,Client287,Residential,,981621237,863 Market St,9934859171,Person37,Details19
288,Client288,Residential,,361095690,693 Market St,4340957970,Person32,Details7
289,Client289,Residential,,205369908,268 Pine St,9258563427,Person10,Details9
290,Client290,Residential,,557292192,434 Pine St,8044323273,Person25,Details6
291,Client291,Residential,,187111206,257 Elm St,3979879257,Person24,Details20
292,Client292,Commercial,407305165,,425 Oak St,2396798866,Person49,Details1
293,Client293,Commercial,153032153,,830 Main St,6211441932,Person21,Details12
294,Client294,Residential,,955321204,975 Market St,7069859260,Person4,Details16
295,Client295,Residential,,439344307,569 Elm St,3568666762,Person25,Details14
296,Client296,Residential,,599154972,691 Pine St,9731415669,Person35,Details11
297,Client297,Residential,,852796422,617 Elm St,9695089711,Person7,Details8
298,Client298,Residential,,439373085,772 Pine St,6340840427,Person4,Details10
299,Client299,Residential,,723828315,973 Oak St,8421638898,Person23,Details17
300,Client300,Residential,,683396372,544 Market St,8505094089,Person24,Details4
301,Client301,Commercial,872744367,,390 Market St,0478383915,Person49,Details3
302,Client302,Commercial,790826744,,206 Pine St,3149960153,Person37,Details3
303,Client303,Commercial,689080695,,774 Oak St,0481145989,Person28,Details4
304,Client304,Residential,,558835113,574 Pine St,9391411057,Person44,Details10
305,Client305,Commercial,826824827,,525 Pine St,7485673572,Person7,Details14
306,Client306,Commercial,743155008,,461 Main St,9112827933,Person34,Details8
307,Client307,Residential,,988033196,29 Elm St,9922016449,Person38,Details10
308,Client308,Commercial,542555812,,650 Elm St,6706329718,Person45,Details2
309,Client309,Residential,,481726328,313 Main St,3101301203,Person40,Details10
310,Client310,Residential,,626043065,911 Main St,7895126715,Person42,Details12
311,Client311,Residential,,124034616,536 Oak St,2928728642,Person35,Details11
312,Client312,Residential,,926971930,109 Pine St,5858255556,Person3,Details13
313,Client313,Residential,,503602396,535 Market St,4791301294,Person43,Details13
314,Client314,Residential,,205206844,66 Oak St,9542502186,Person5,Details6
315,Client315,Residential,,289742672,150 Elm St,7473603029,Person31,Details19
316,Client316,Residential,,591668822,215 Elm St,9799113676,Person24,Details14
317,Client317,Commercial,167680300,,251 Market St,8048924708,Person24,Details10
318,Client318,Residential,,599086181,460 Market St,0734956450,Person16,Details2
319,Client319,Residential,,178971792,938 Elm St,0933067290,Person5,Details15
320,Client320,Residential,,335383460,545 Elm St,4843628303,Person41,Details11
321,Client321,Residential,,569372441,665 Elm St,8701311171,Person43,Details18
322,Client322,Residential,,942749550,848 Elm St,8089031256,Person17,Details3
323,Client323,Residential,,688623106,612 Elm St,0091240563,Person12,Details20
324,Client324,Residential,,618627420,928 Market St,2059545850,Person25,Details15
325,Client325,Residential,,443810726,821 Main St,2792352445,Person34,Details6
326,Client326,Residential,,884698723,633 Elm St,7708738478,Person21,Details4
327,Client327,Residential,,853799170,249 Oak St,7375988755,Person32,Details19
328,Client328,Residential,,101701191,813 Pine St,2137238400,Person11,Details9
329,Client329,Residential,,870709858,800 Main St,6108669922,Person19,Details14
330,Client330,Residential,,630454007,313 Oak St,5481576772,Person46,Details11
331,Client331,Residential,,878637119,101 Market St,3975245366,Person20,Details12
332,Client332,Residential,,163960469,278 Market St,7707063052,Person12,Details12
333,Client333,Residential,,826408550,565 Elm St,3354712475,Person14,Details5
334,Client334,Commercial,313059078,,455 Pine St,3921510347,Person2,Details2
335,Client335,Residential,,263380393,453 Pine St,1973992558,Person10,Details13
336,Client336,Residential,,869062761,444 Elm St,4219677982,Person13,Details19
337,Client337,Residential,,590136117,522 Oak St,1995662616,Person30,Details13
338,Client338,Residential,,895128149,839 Pine St,4840620765,Person36,Details20
339,Client339,Residential,,949285784,502 Main St,1244582453,Person14,Details2
340,Client340,Residential,,394871636,582 Oak St,3002357876,Person40,Details9
341,Client341,Residential,,681359136,979 Elm St,7441819929,Person23,Details6
342,Client342,Residential,,874714349,193 Pine St,2310743690,Person9,Details17
343,Client343,Residential,,186454441,590 Market St,7634448312,Person25,Details11
344,Client344,Residential,,121715412,385 Market St,4641351160,Person18,Details8
345,Client345,Commercial,398467355,,691 Market St,1617264231,Person1,Details10
346,Client346,Residential,,776185804,313 Pine St,8605908487,Person47,Details8
347,Client347,Residential,,269564655,406 Elm St,3436494044,Person31,Details16
348,Client348,Residential,,420112150,842 Main St,2908529380,Person30,Details19
349,Client349,Residential,,252987565,892 Pine St,4104195387,Person38,Details5
350,Client350,Residential,,251267216,783 Market St,6361168940,Person10,Details7
351,Client351,Commercial,277898631,,875 Market St,8336725343,Person26,Details6
352,Client352,Residential,,278013974,345 Pine St,3571764877,Person23,Details20
353,Client353,Residential,,652672976,591 Main St,3425415272,Person44,Details8
354,Client354,Commercial,661760501,,521 Main St,2675360373,Person9,Details9
355,Client355,Residential,,537846331,270 Oak St,0601941252,Person20,Details8
356,Client356,Residential,,161698795,70 Market St,2098812302,Person47,Details11
357,Client357,Residential,,500998989,755 Pine St,0676023940,Person23,Details19
358,Client358,Residential,,868417648,450 Market St,7009111933,Person16,Details13
359,Client359,Commercial,608564837,,509 Market St,7793852886,Person2,Details7
360,Client360,Residential,,860569209,706 Market St,9061936451,Person19,Details10
361,Client361,Residential,,729173592,163 Market St,4995042593,Person37,Details20
362,Client362,Residential,,798390199,457 Market St,2000839006,Person40,Details20
363,Client363,Residential,,752688643,694 Market St,7794521567,Person31,Details8
364,Client364,Residential,,407855390,77 Oak St,2788029410,Person32,Details18
365,Client365,Residential,,118691319,311 Main St,7932098209,Person35,Details11
366,Client366,Residential,,848061437,113 Main St,7631271301,Person16,Details17
367,Client367,Commercial,404288086,,979 Main St,3007777860,Person25,Details18
368,Client368,Commercial,901005991,,425 Pine St,8469793445,Person50,Details11
369,Client369,Residential,,151981861,738 Pine St,5032670755,Person13,Details17
370,Client370,Residential,,518554752,166 Elm St,1708308995,Person32,Details2
371,Client371,Residential,,255509749,947 Elm St,3107805631,Person19,Details13
372,Client372,Residential,,789931550,625 Pine St,7330004275,Person42,Details14
373,Client373,Residential,,377067134,731 Main St,6833956824,Person44,Details7
374,Client374,Residential,,112380803,873 Market St,5317932810,Person21,Details18
375,Client375,Residential,,628670377,308 Main St,3996795115,Person46,Details13
376,Client376,Residential,,777738714,148 Elm St,9464424883,Person34,Details11
377,Client377,Residential,,555882435,270 Main St,8777715903,Person15,Details4
378,Client378,Residential,,701133132,927 Pine St,3674820855,Person26,Details6
379,Client379,Residential,,444633332,166 Pine St,0772046202,Person41,Details5
380,Client380,Residential,,305246306,694 Oak St,6923454183,Person18,Details18
381,Client381,Residential,,975640098,960 Oak St,0959645672,Person24,Details17
382,Client382,Residential,,806853341,176 Main St,1117318695,Person36,Details19
383,Client383,Commercial,647994547,,97 Oak St,2233214988,Person4,Details3
384,Client384,Residential,,489630067,918 Elm St,7853733973,Person39,Details8
385,Client385,Commercial,879757201,,712 Oak St,7654088402,Person16,Details2
386,Client386,Commercial,780300243,,471 Pine St,2379079641,Person39,Details8
387,Client387,Residential,,558513427,617 Market St,5904504747,Person1,Details6
388,Client388,Residential,,551484736,971 Market St,2239452575,Person9,Details9
389,Client389,Residential,,874190418,320 Oak St,7017720256,Person24,Details17
390,Client390,Residential,,615077384,87 Elm St,3292233666,Person43,Details8
391,Client391,Residential,,344328201,410 Oak St,0714716971,Person31,Details13
392,Client392,Residential,,906183085,871 Oak St,6830539783,Person4,Details14
393,Client393,Commercial,796065052,,451 Pine St,3429070715,Person25,Details15
394,Client394,Residential,,181567606,883 Pine St,0543150896,Person35,Details8
395,Client395,Residential,,233406621,50 Elm St,7569473150,Person31,Details5
396,Client396,Residential,,608258822,339 Oak St,4466810400,Person16,Details2
397,Client397,Commercial,390039643,,235 Market St,5513197573,Person12,Details19
398,Client398,Commercial,747250218,,274 Elm St,2903325885,Person35,Details16
399,Client399,Commercial,598295267,,209 Main St,3190877331,Person7,Details17
