violation_id,violation_type,date_time,status,violation_category_id,drivers_licence
53,Reckless driving,2017-06-08,registered,4,TY-022953-14-48-32-UJ
54,Illegal parking,2023-09-25,closed,4,XC-929173-18-32-07-ZU
55,Driving under the influence,2018-01-22,registered,4,GY-192357-33-46-30-TE
56,Driving under the influence,2021-08-24,registered,4,XP-908790-00-23-79-TL
57,Illegal parking,2020-01-20,registered,4,NU-113400-61-25-09-GQ
58,Speeding,2023-10-26,registered,4,ET-721991-11-50-81-WH
59,Illegal parking,2023-03-13,registered,4,FN-934658-96-79-38-TK
60,Speeding,2017-04-01,registered,4,TD-086240-93-02-48-GD
61,Speeding,2018-04-05,registered,4,DA-332858-20-30-14-ND
62,Illegal parking,2019-10-13,registered,4,VG-549038-06-50-78-IP
63,Running a red light,2020-11-22,registered,4,EF-667185-66-42-65-ML
64,Illegal parking,2016-06-06,registered,4,YM-172893-11-70-76-JV
65,Reckless driving,2020-11-27,registered,4,CQ-576406-72-51-59-ZM
66,Illegal parking,2019-07-16,closed,4,WD-937373-06-18-53-FR
67,Driving under the influence,2020-11-09,closed,4,BY-453353-37-12-24-PS
68,Speeding,2022-10-05,closed,4,HC-542048-53-09-91-FP
69,Failure to yield,2017-05-24,closed,4,RH-626409-83-50-30-QE
70,Failure to yield,2022-07-19,closed,4,OG-970021-62-75-69-AC
71,Speeding,2020-06-12,registered,4,DV-783600-72-33-00-HJ
72,Reckless driving,2016-08-01,closed,4,EF-280940-27-98-42-DK
73,Failure to yield,2016-05-09,registered,4,FA-321116-91-22-93-NK
74,Speeding,2022-12-28,registered,4,RD-275451-77-68-79-HD
75,Running a red light,2021-03-16,closed,4,OI-653135-65-18-88-RO
76,Speeding,2016-07-08,registered,4,GB-991743-68-07-40-IY
77,Speeding,2016-02-02,registered,4,ON-833726-27-55-65-PE
78,Illegal parking,2021-07-17,registered,4,YD-160863-37-59-49-IY
79,Driving under the influence,2018-03-01,closed,4,PH-369529-16-43-95-NI
80,Illegal parking,2020-09-28,registered,4,FV-615270-09-90-53-SH
81,Running a red light,2022-10-11,closed,4,UO-818676-73-07-25-LO
82,Driving under the influence,2020-04-20,registered,4,XX-160204-85-28-97-OX
83,Failure to yield,2019-08-15,closed,4,KI-172513-61-93-42-AA
84,Illegal parking,2018-05-25,registered,4,NZ-173399-98-23-61-CF
85,Reckless driving,2023-10-18,registered,4,SQ-085014-94-09-17-RV
86,Reckless driving,2021-06-15,closed,4,IN-491026-89-32-65-RT
87,Illegal parking,2014-11-01,registered,4,BK-381610-20-17-41-YC
88,Running a red light,2014-06-09,registered,4,VB-364395-67-13-60-IE
89,Driving under the influence,2015-03-23,registered,4,IB-169918-30-06-08-ET
90,Speeding,2019-04-24,registered,4,HC-035989-10-27-47-HM
91,Speeding,2021-03-24,closed,4,JR-818380-85-62-39-QQ
92,Running a red light,2017-02-01,registered,4,MD-035919-78-04-51-CQ
93,Reckless driving,2023-01-08,closed,4,DO-819485-62-94-22-QT
94,Illegal parking,2017-02-04,closed,4,HX-294832-51-30-97-SD
95,Running a red light,2019-09-26,closed,4,QO-930486-72-10-06-ME
96,Driving under the influence,2022-04-08,registered,4,LU-418688-34-80-63-HF
97,Failure to yield,2015-07-17,registered,4,SM-739095-71-81-51-UA
98,Speeding,2020-05-05,closed,4,PY-723371-87-39-14-HL
99,Illegal parking,2022-05-08,registered,4,KZ-770603-03-51-55-GB
100,Speeding,2017-07-24,closed,4,XA-289473-80-24-67-RC
101,Driving under the influence,2022-04-20,closed,4,VW-341053-02-63-68-DZ
102,Illegal parking,2019-08-16,closed,4,EV-970805-18-95-00-UM
103,Running a red light,2021-08-16,registered,4,RZ-048801-17-73-83-IT
104,Reckless driving,2022-08-14,closed,4,QG-534639-84-93-35-HS
105,Illegal parking,2016-02-16,registered,4,BT-332852-53-10-90-JX
106,Reckless driving,2014-11-17,closed,4,ZP-001790-05-20-85-ZP
107,Reckless driving,2023-05-16,registered,4,SO-597735-70-40-05-LE
108,Running a red light,2020-03-29,closed,4,PU-614247-64-63-16-XA
109,Failure to yield,2021-02-28,registered,4,LC-734011-58-65-39-RS
110,Reckless driving,2015-01-19,registered,4,FW-799209-05-44-66-FD
111,Failure to yield,2022-11-27,registered,4,TG-370357-43-68-74-DB
112,Reckless driving,2022-04-26,closed,4,QR-798401-23-52-50-LZ
113,Speeding,2019-06-10,closed,4,IX-663698-05-84-08-OE
114,Driving under the influence,2022-02-01,registered,4,QZ-426821-41-00-18-RM
115,Running a red light,2017-08-09,closed,4,XX-068551-96-59-53-SF
116,Driving under the influence,2018-11-04,registered,4,ES-826069-90-14-75-ZG
117,Failure to yield,2021-01-31,closed,4,JR-905184-75-06-15-QZ
118,Driving under the influence,2016-07-12,closed,4,YB-605144-31-80-62-ZV
119,Speeding,2017-10-31,registered,4,HC-995617-84-41-54-KL
120,Driving under the influence,2017-08-19,registered,4,ZL-869837-58-11-63-RE
121,Illegal parking,2014-10-14,registered,4,ZI-899534-29-08-93-OY
122,Driving under the influence,2017-01-30,closed,4,IS-569558-14-01-93-TA
123,Running a red light,2020-11-18,registered,4,MK-138516-69-61-64-KT
124,Running a red light,2022-10-27,registered,4,IQ-281186-76-36-58-JE
125,Running a red light,2023-09-04,registered,4,JT-245193-99-41-94-FH
126,Reckless driving,2014-11-07,registered,4,IE-848851-65-60-38-MD
127,Reckless driving,2020-07-25,registered,4,RY-952670-12-31-47-AP
128,Speeding,2014-08-23,registered,4,SC-266876-83-47-53-XF
129,Running a red light,2015-10-27,registered,4,QP-877610-78-76-19-SF
130,Speeding,2017-04-10,closed,4,EI-787730-79-02-11-DX
131,Failure to yield,2015-11-01,registered,4,BA-976530-61-73-83-YR
132,Running a red light,2016-04-03,closed,4,CC-001924-87-09-40-PE
133,Failure to yield,2022-05-08,registered,4,VH-235072-63-65-51-CA
134,Illegal parking,2023-04-05,closed,4,DC-732927-11-66-32-YQ
135,Driving under the influence,2019-02-22,closed,4,QQ-776246-11-62-16-ZF
136,Reckless driving,2022-10-31,registered,4,DL-884952-33-29-61-RW
137,Running a red light,2021-07-14,registered,4,BY-597207-53-65-51-YL
138,Running a red light,2014-09-17,closed,4,UR-082463-62-46-17-TO
139,Running a red light,2023-08-07,registered,4,GE-202375-36-43-19-QP
140,Reckless driving,2021-05-01,registered,4,ZO-048144-02-06-07-GN
141,Reckless driving,2019-08-31,closed,4,UZ-888322-57-28-17-FI
142,Running a red light,2014-06-16,registered,4,BC-452933-03-30-04-KE
143,Running a red light,2018-02-17,registered,4,OW-142588-04-67-85-OB
144,Running a red light,2018-08-25,registered,4,LV-544549-10-10-16-VP
145,Failure to yield,2019-09-29,closed,4,NA-498114-88-50-65-SB
146,Running a red light,2023-11-08,registered,4,TT-757209-03-81-21-BL
147,Driving under the influence,2022-03-13,registered,4,JP-750486-88-81-03-WD
148,Driving under the influence,2018-12-18,registered,4,RR-912676-77-96-69-NL
149,Failure to yield,2021-03-17,registered,4,KG-354877-18-14-84-TJ
150,Reckless driving,2015-05-31,registered,4,KS-244871-66-99-94-MH
151,Illegal parking,2019-04-29,registered,4,MZ-300880-00-14-82-VG
152,Failure to yield,2020-01-31,closed,4,JI-135354-32-58-84-EA
153,Driving under the influence,2017-01-13,closed,4,NM-161812-32-40-04-XM
154,Illegal parking,2016-05-22,registered,4,OC-042098-84-79-27-OR
155,Running a red light,2018-01-10,registered,4,AI-108515-42-44-92-DZ
156,Illegal parking,2019-08-20,registered,4,NS-304310-75-94-77-GC
157,Reckless driving,2022-11-27,registered,4,PF-870689-68-54-18-QV
158,Illegal parking,2023-02-08,registered,4,DK-078792-01-79-92-SK
159,Running a red light,2022-05-14,closed,4,WB-368141-85-28-46-XK
160,Driving under the influence,2016-05-17,registered,4,YP-133320-02-29-83-EJ
161,Running a red light,2016-08-05,closed,4,WN-974941-89-08-36-HT
162,Speeding,2023-09-18,registered,4,BH-500633-14-46-84-VZ
163,Failure to yield,2022-04-21,registered,4,GN-585745-15-13-45-CW
164,Speeding,2018-08-27,registered,4,MF-280772-12-53-01-NW
165,Driving under the influence,2018-09-01,closed,4,BP-347832-58-52-70-YL
166,Reckless driving,2022-05-29,closed,4,VM-003328-99-58-94-BG
167,Speeding,2017-11-21,closed,4,JW-910456-53-77-03-IV
168,Reckless driving,2017-06-16,closed,4,MY-115471-07-06-33-ID
169,Failure to yield,2018-07-01,closed,4,FN-410161-55-19-96-JP
170,Speeding,2016-06-15,closed,4,FO-967663-82-66-50-XX
171,Speeding,2019-07-15,registered,4,LG-365357-48-79-06-TX
172,Driving under the influence,2018-01-27,registered,4,PE-072158-18-70-13-LP
173,Failure to yield,2023-07-28,registered,4,BT-850940-08-91-21-IS
174,Running a red light,2020-05-18,registered,4,KX-956139-53-28-38-UN
175,Reckless driving,2018-07-24,registered,4,OK-510473-49-86-45-UD
176,Illegal parking,2020-02-17,registered,4,TU-962200-50-15-38-IJ
177,Reckless driving,2014-10-25,closed,4,DD-883130-10-02-11-FP
178,Running a red light,2016-07-04,closed,4,QE-732291-93-16-94-JM
179,Illegal parking,2016-02-09,registered,4,IH-280594-79-11-34-IW
180,Driving under the influence,2016-05-04,closed,4,QC-644704-86-06-40-GI
181,Reckless driving,2022-01-13,registered,4,MU-389346-16-07-03-GU
182,Reckless driving,2023-08-20,registered,4,DY-006853-15-71-97-WL
183,Failure to yield,2015-08-26,closed,4,JS-419251-39-33-29-AI
184,Speeding,2014-11-16,closed,4,PU-878589-34-49-08-MJ
185,Reckless driving,2015-12-27,registered,4,SS-197074-12-94-30-RG
186,Running a red light,2019-07-12,registered,4,NB-118510-79-25-14-TF
187,Failure to yield,2015-11-25,registered,4,JA-447743-39-43-50-IA
188,Reckless driving,2023-04-20,closed,4,DT-483176-81-95-68-AO
189,Driving under the influence,2020-06-15,registered,4,TE-030048-04-15-09-SL
190,Reckless driving,2015-04-27,registered,4,AF-537243-72-70-85-DX
191,Reckless driving,2016-11-21,closed,4,KS-691025-36-99-83-DZ
192,Illegal parking,2015-10-27,closed,4,GW-447852-46-81-91-XD
193,Driving under the influence,2022-10-07,closed,4,BK-551713-08-12-19-KP
194,Speeding,2015-12-17,closed,4,ZG-985979-76-83-14-EY
195,Reckless driving,2018-04-23,closed,4,ZB-346669-69-87-41-OI
196,Illegal parking,2015-10-17,registered,4,KO-673111-98-01-97-PM
197,Speeding,2015-09-07,registered,4,EX-955181-88-07-49-EW
198,Failure to yield,2022-06-08,registered,4,IA-441525-18-89-11-FD
199,Illegal parking,2017-05-17,closed,4,VY-881033-98-80-75-LZ
200,Speeding,2020-10-28,registered,4,XZ-786275-62-74-13-WO
201,Reckless driving,2016-01-12,registered,4,ZL-943893-66-34-24-UG
202,Speeding,2017-06-24,closed,4,MV-644566-81-58-46-XE
203,Driving under the influence,2016-01-18,closed,4,MT-927736-25-24-17-QD
204,Failure to yield,2020-10-05,registered,4,EO-845959-60-80-20-WF
205,Failure to yield,2014-12-26,registered,4,RE-213954-75-42-46-VQ
206,Running a red light,2020-09-06,closed,4,KR-905244-27-14-39-SK
207,Speeding,2015-02-06,registered,4,IW-302241-74-16-92-GC
208,Illegal parking,2016-05-31,closed,4,KF-053732-46-21-40-WK
209,Speeding,2022-04-18,registered,4,ND-978558-54-69-78-ZE
210,Failure to yield,2019-09-20,closed,4,KH-309245-35-19-90-KP
211,Reckless driving,2018-08-16,registered,4,JL-486229-96-57-59-XW
212,Running a red light,2018-09-24,registered,4,RO-048220-79-65-04-AK
213,Failure to yield,2017-09-01,registered,4,CL-250011-59-51-06-QB
214,Speeding,2018-07-06,registered,4,OB-005027-03-76-40-CL
215,Reckless driving,2014-11-05,registered,4,TH-876587-15-54-74-JL
216,Failure to yield,2018-07-15,registered,4,IM-543195-48-33-61-HE
217,Failure to yield,2016-04-23,registered,4,GD-991701-56-70-65-ZZ
218,Illegal parking,2015-10-05,registered,4,CE-309123-75-22-04-NY
219,Illegal parking,2022-01-16,registered,4,GI-295936-90-17-60-IE
220,Failure to yield,2019-09-24,registered,4,QB-168402-41-32-67-LV
221,Failure to yield,2020-10-25,registered,4,XN-992976-61-69-96-TL
222,Running a red light,2016-06-25,closed,4,CR-126707-56-51-94-TI
223,Speeding,2016-09-14,closed,4,JU-334160-05-72-80-RR
224,Failure to yield,2021-06-13,closed,4,WK-347821-82-68-15-YL
225,Driving under the influence,2017-12-30,registered,4,AB-949139-90-27-13-UC
226,Illegal parking,2021-05-08,closed,4,LF-857377-31-75-13-HK
227,Reckless driving,2015-01-08,registered,4,WM-101784-92-24-03-GT
228,Failure to yield,2022-06-19,closed,4,SQ-890293-12-32-01-XY
229,Driving under the influence,2018-10-13,registered,4,MI-353155-76-63-83-BF
230,Reckless driving,2022-10-28,closed,4,TG-278219-80-04-15-ZE
231,Reckless driving,2015-05-17,closed,4,WE-322397-18-62-95-TV
232,Driving under the influence,2019-09-12,registered,4,IB-256728-35-75-66-IG
233,Failure to yield,2022-11-09,registered,4,FS-103294-32-37-54-WL
234,Reckless driving,2021-08-12,registered,4,DB-153804-36-45-68-AN
235,Illegal parking,2022-03-29,closed,4,UC-335149-10-95-73-TY
236,Speeding,2017-06-17,registered,4,DQ-394409-75-35-14-WA
237,Running a red light,2020-03-27,closed,4,IE-688404-16-72-22-HJ
238,Reckless driving,2016-02-05,closed,4,GJ-866427-99-28-34-HE
239,Failure to yield,2016-07-25,registered,4,XF-264167-98-31-13-DN
240,Illegal parking,2019-07-20,closed,4,IR-509428-00-15-20-DQ
241,Reckless driving,2022-10-25,registered,4,ID-512427-44-24-49-FX
242,Illegal parking,2015-05-10,registered,4,BM-032206-63-77-13-NN
243,Running a red light,2020-01-18,registered,4,HU-781464-45-71-18-CZ
244,Driving under the influence,2019-03-27,registered,4,GF-238553-31-83-74-QJ
245,Illegal parking,2017-10-22,registered,4,NI-400061-43-36-72-AY
246,Speeding,2019-11-17,registered,4,KO-392486-49-89-05-RP
247,Running a red light,2016-07-08,registered,4,GG-350637-12-40-84-XC
248,Speeding,2022-12-03,registered,4,NQ-606071-38-30-98-OM
249,Running a red light,2021-01-17,closed,4,RY-498650-98-94-63-ES
250,Driving under the influence,2017-09-30,registered,4,VD-999167-06-74-79-AN
251,Running a red light,2020-04-21,registered,4,FV-944640-52-78-10-YJ
252,Illegal parking,2021-05-02,registered,4,BI-727285-18-60-72-QT
253,Failure to yield,2015-06-08,registered,4,XF-296523-81-21-70-MN
254,Failure to yield,2017-07-04,registered,4,HZ-783950-57-08-44-JK
255,Reckless driving,2019-02-24,registered,4,JG-842951-51-11-54-JQ
256,Driving under the influence,2018-05-01,registered,4,PA-507231-96-69-76-VO
257,Failure to yield,2015-02-06,registered,4,KE-827939-62-16-41-BK
258,Driving under the influence,2020-06-05,closed,4,NZ-820227-43-77-86-UR
259,Speeding,2015-09-27,registered,4,WJ-635641-40-55-09-FS
260,Speeding,2018-11-19,registered,4,WD-215814-11-17-78-BH
261,Illegal parking,2018-10-15,registered,4,MO-194665-12-11-17-XQ
262,Running a red light,2014-09-29,registered,4,OI-042157-96-63-43-SU
263,Running a red light,2019-03-07,registered,4,ME-747612-19-94-15-JA
264,Reckless driving,2021-02-18,closed,4,SK-266733-24-62-79-UM
265,Illegal parking,2020-08-04,registered,4,QX-182939-70-64-97-MF
266,Illegal parking,2016-10-14,registered,4,BM-378865-86-67-94-DL
267,Speeding,2020-05-30,closed,4,OK-327791-82-84-91-RM
268,Driving under the influence,2016-06-02,closed,4,NE-097013-62-89-09-RO
269,Running a red light,2015-08-07,registered,4,DH-217380-40-76-07-LU
270,Illegal parking,2016-12-16,registered,4,AX-958552-00-65-87-JQ
271,Running a red light,2016-03-19,registered,4,WI-580644-74-52-69-OG
272,Failure to yield,2019-09-29,registered,4,MO-525395-33-16-50-JX
273,Reckless driving,2020-08-03,closed,4,OF-599300-96-41-40-JO
274,Speeding,2015-09-18,registered,4,YK-777204-59-58-41-KO
275,Reckless driving,2018-03-06,registered,4,SF-109451-97-43-35-TI
276,Running a red light,2015-11-22,registered,4,GB-560948-44-87-48-UQ
277,Driving under the influence,2021-02-08,registered,4,AW-251767-65-93-60-NR
278,Running a red light,2015-12-24,registered,4,BQ-047266-30-58-53-BQ
279,Running a red light,2015-04-04,closed,4,NM-186085-89-59-05-LP
280,Running a red light,2016-12-12,closed,4,OC-082259-01-57-09-CE
281,Failure to yield,2022-01-20,closed,4,AO-083715-27-21-59-JM
282,Running a red light,2021-05-30,registered,4,ID-040934-00-94-96-UW
283,Illegal parking,2023-02-10,registered,4,PO-483474-92-93-85-WB
284,Reckless driving,2017-07-17,registered,4,TZ-350725-10-39-44-AA
285,Reckless driving,2020-06-07,closed,4,EB-200913-96-32-01-KM
286,Reckless driving,2019-12-05,registered,4,HI-240686-69-64-07-EZ
287,Speeding,2023-04-21,closed,4,XO-485952-54-15-25-MK
288,Illegal parking,2018-07-27,closed,4,CO-583168-24-45-18-DB
289,Reckless driving,2015-01-23,registered,4,EK-855328-98-93-33-TS
290,Failure to yield,2023-10-26,registered,4,EQ-219457-01-32-63-PB
291,Running a red light,2018-11-13,closed,4,UJ-730026-00-86-67-SN
292,Failure to yield,2019-02-21,registered,4,XI-162251-33-80-42-LO
293,Driving under the influence,2020-01-05,registered,4,YW-634083-85-09-41-EJ
294,Speeding,2022-11-05,registered,4,PE-188046-54-77-10-XZ
295,Reckless driving,2021-01-01,registered,4,EA-433702-52-21-07-CZ
296,Speeding,2017-12-05,registered,4,TB-454992-13-21-31-YE
297,Failure to yield,2022-04-19,registered,4,VS-722925-54-53-56-XJ
298,Illegal parking,2018-11-27,registered,4,BD-605580-50-53-05-UZ
299,Failure to yield,2020-05-23,registered,4,OO-895177-91-40-15-ON
300,Illegal parking,2023-04-01,closed,4,ZW-659366-23-99-14-KK
301,Failure to yield,2021-08-11,registered,4,OJ-474961-33-38-05-WY
302,Running a red light,2022-05-09,closed,4,SQ-367859-71-84-19-TA
303,Reckless driving,2016-07-24,registered,4,MK-189199-94-71-38-BL
304,Running a red light,2020-12-13,registered,4,PD-527767-27-00-68-IV
305,Speeding,2019-12-01,registered,4,GQ-610904-64-58-24-IW
306,Illegal parking,2017-03-14,registered,4,ZS-628934-23-09-85-GK
307,Illegal parking,2016-01-03,closed,4,MQ-060948-28-82-86-MZ
308,Speeding,2016-02-12,registered,4,HR-035470-69-83-76-RY
309,Failure to yield,2014-12-30,closed,4,UK-037238-45-78-17-NL
310,Illegal parking,2015-09-19,registered,4,WG-995364-54-11-78-KS
311,Failure to yield,2017-05-02,registered,4,JO-505245-07-56-49-AQ
312,Reckless driving,2022-10-23,registered,4,OR-220068-77-67-46-AX
313,Failure to yield,2016-09-18,registered,4,HI-725182-10-81-01-IA
314,Reckless driving,2022-01-07,registered,4,TM-010880-44-66-55-VU
315,Speeding,2017-03-23,registered,4,OB-361761-32-57-59-RL
316,Speeding,2018-12-19,closed,4,PT-586232-41-42-79-IY
317,Speeding,2023-07-11,registered,4,EN-063560-86-54-33-YA
318,Reckless driving,2016-05-16,registered,4,JG-305223-52-13-76-FS
319,Speeding,2017-02-06,registered,4,UV-396145-22-90-78-SO
320,Running a red light,2017-11-25,registered,4,SV-045203-92-97-97-ZO
321,Speeding,2022-08-16,registered,4,ST-495595-95-44-30-OX
322,Reckless driving,2019-11-10,closed,4,RB-326988-11-71-40-DU
323,Driving under the influence,2021-06-06,registered,4,LI-776643-78-58-31-YZ
324,Reckless driving,2014-06-27,registered,4,MN-258943-29-49-54-FW
325,Illegal parking,2015-09-19,closed,4,YX-168297-33-76-21-XS
326,Illegal parking,2021-03-07,registered,4,GW-106980-44-64-20-AD
327,Speeding,2023-05-24,registered,4,SD-563986-32-49-27-YG
328,Illegal parking,2022-10-26,registered,4,TJ-697361-53-80-59-IH
329,Driving under the influence,2014-08-16,closed,4,VR-648354-32-89-61-XN
330,Reckless driving,2014-12-23,registered,4,LK-642736-33-41-61-AL
331,Speeding,2015-04-09,registered,4,UK-722541-14-71-63-LY
332,Reckless driving,2023-06-08,registered,4,RA-085323-95-36-53-PG
333,Speeding,2020-09-28,registered,4,GG-574748-19-82-18-DH
334,Reckless driving,2018-08-01,registered,4,ZC-626063-75-22-93-IF
335,Driving under the influence,2023-07-27,registered,4,SM-666648-73-89-79-PC
336,Speeding,2018-03-04,closed,4,ZG-643576-68-99-90-WP
337,Reckless driving,2017-12-03,registered,4,PQ-151522-75-48-55-MV
338,Illegal parking,2023-12-06,registered,4,FT-730604-41-68-33-AW
339,Running a red light,2019-08-13,registered,4,LI-638958-16-90-69-LQ
340,Reckless driving,2022-06-25,registered,4,HY-188158-42-51-18-BP
341,Driving under the influence,2014-08-11,closed,4,ZQ-456820-84-46-70-IF
342,Driving under the influence,2015-10-06,registered,4,VH-376689-76-16-95-DY
343,Illegal parking,2018-06-03,registered,4,NK-656088-08-29-12-SR
344,Driving under the influence,2020-10-16,closed,4,PG-743411-40-65-40-DA
345,Illegal parking,2018-06-24,registered,4,GX-098880-85-85-20-XG
346,Running a red light,2015-04-24,registered,4,VT-494773-70-61-98-EP
347,Running a red light,2015-01-15,registered,4,KD-655285-86-14-14-RR
348,Driving under the influence,2020-03-08,registered,4,GG-229631-94-45-44-PK
349,Reckless driving,2015-08-10,registered,4,ES-836106-08-37-97-VM
350,Driving under the influence,2015-05-06,registered,4,FC-984461-06-41-40-XW
351,Failure to yield,2014-08-28,registered,4,VX-530240-02-73-15-ZG
352,Driving under the influence,2016-10-14,registered,4,HZ-148011-32-22-92-FT
353,Speeding,2014-10-29,closed,4,OQ-730327-38-97-67-NC
354,Driving under the influence,2016-02-19,registered,4,RR-524720-72-45-23-GS
355,Reckless driving,2021-02-27,closed,4,NS-689286-79-17-36-CU
356,Illegal parking,2014-10-10,closed,4,UP-644268-26-19-32-LV
357,Running a red light,2014-09-10,registered,4,QV-642575-39-95-93-DS
358,Illegal parking,2018-06-02,registered,4,PQ-581481-14-04-71-ZX
359,Failure to yield,2021-01-21,registered,4,FG-666118-89-71-77-DN
360,Failure to yield,2016-04-22,closed,4,UW-232666-23-60-84-ST
361,Running a red light,2021-05-21,closed,4,QT-326799-66-88-36-KT
362,Illegal parking,2015-02-03,closed,4,UM-904072-89-54-31-EY
363,Failure to yield,2017-08-25,closed,4,DC-817743-22-68-95-BE
364,Running a red light,2016-04-10,closed,4,EC-420554-44-68-27-NU
365,Driving under the influence,2020-05-13,closed,4,AM-132383-67-47-46-LH
366,Running a red light,2023-06-29,registered,4,BD-060362-57-19-54-RU
367,Running a red light,2018-01-03,registered,4,JO-242221-18-93-90-KQ
368,Illegal parking,2017-10-31,registered,4,NX-532077-33-14-18-PN
369,Failure to yield,2015-11-17,registered,4,TH-115126-47-97-22-UX
370,Reckless driving,2021-09-18,registered,4,UD-662489-93-00-80-AH
371,Running a red light,2016-12-17,registered,4,VI-708253-95-44-62-AZ
372,Illegal parking,2019-10-16,registered,4,TB-778019-75-65-46-YY
373,Failure to yield,2023-09-13,registered,4,DG-455215-03-73-91-CL
374,Speeding,2017-04-09,closed,4,JY-385948-07-09-48-AN
375,Speeding,2015-10-11,registered,4,FA-598564-42-59-42-FH
376,Running a red light,2014-12-13,registered,4,MG-468131-37-89-81-XT
377,Reckless driving,2020-10-12,registered,4,OF-210414-34-47-95-GT
378,Reckless driving,2021-11-14,closed,4,YJ-678446-43-14-91-EB
379,Running a red light,2023-01-29,closed,4,OL-132877-95-35-38-CQ
380,Illegal parking,2015-04-24,closed,4,GE-152257-25-34-32-WX
381,Reckless driving,2019-11-04,closed,4,YV-096244-84-22-79-AP
382,Running a red light,2017-02-20,registered,4,TV-180286-64-84-48-BP
383,Driving under the influence,2019-07-30,registered,4,PY-700921-95-79-64-AR
384,Failure to yield,2022-07-23,registered,4,VI-062869-85-13-07-MZ
385,Running a red light,2021-12-21,closed,4,SS-716452-96-59-35-JG
386,Speeding,2022-06-21,registered,4,GV-902579-96-47-83-XZ
387,Driving under the influence,2021-03-10,registered,4,ZN-941543-28-72-22-ZL
